dataset	epsilon	mu	delta	time	flocks	tag
SJ50K55.csv	50	9	3	48.603	23	bfe
SJ50K55.csv	100	9	3	67.008	365	bfe
SJ50K55.csv	150	9	3	101.600	2000	bfe
SJ50K55.csv	200	9	3	153.667	6219	bfe
SJ50K55.csv	250	9	3	243.543	18778	bfe
SJ50K55.csv	300	9	3	430.332	45201	bfe
SJ50K55.csv	350	9	3	985.526	99610	bfe
SJ50K55.csv	400	9	3	1916.513	179286	bfe
SJ50K55.csv	50	9	3	54.351	8	fp1
SJ50K55.csv	100	9	3	72.199	78	fp1
SJ50K55.csv	150	9	3	105.442	354	fp1
SJ50K55.csv	200	9	3	143.553	1096	fp1
SJ50K55.csv	250	9	3	183.933	2829	fp1
SJ50K55.csv	300	9	3	226.501	6396	fp1
SJ50K55.csv	350	9	3	269.256	12370	fp1
SJ50K55.csv	400	9	3	322.682	21682	fp1
SJ50K55.csv	50	9	3	54.617	23	fp2
SJ50K55.csv	100	9	3	73.579	317	fp2
SJ50K55.csv	150	9	3	107.893	1376	fp2
SJ50K55.csv	200	9	3	145.056	3866	fp2
SJ50K55.csv	250	9	3	185.611	10273	fp2
SJ50K55.csv	300	9	3	227.006	23638	fp2
SJ50K55.csv	350	9	3	274.693	49169	fp2
SJ50K55.csv	400	9	3	329.277	90482	fp2
SJ50K55.csv	50	9	3	48.189	8	lcm
SJ50K55.csv	100	9	3	65.339	78	lcm
SJ50K55.csv	150	9	3	99.720	354	lcm
SJ50K55.csv	200	9	3	148.698	1096	lcm
SJ50K55.csv	250	9	3	214.291	2829	lcm
SJ50K55.csv	300	9	3	322.930	6396	lcm
SJ50K55.csv	350	9	3	626.808	12370	lcm
SJ50K55.csv	400	9	3	1034.650	21682	lcm
